datetime,temperature,humidity
2025-11-27 16:04:08.337,24.3,53.7
2025-11-27 16:04:10.363,24.3,53.8
2025-11-27 16:04:20.490,24.3,53.7
2025-11-27 16:04:26.566,24.3,53.8
2025-11-27 16:04:34.669,24.4,53.8
2025-11-27 16:04:42.770,24.4,53.9
2025-11-27 16:04:44.796,24.3,53.9
2025-11-27 16:04:46.822,24.4,54.0
2025-11-27 16:04:50.874,24.4,53.9
2025-11-27 16:05:01.001,24.4,54.1
2025-11-27 16:05:03.026,24.4,54.3
2025-11-27 16:05:05.052,24.4,54.4
2025-11-27 16:05:11.129,24.4,54.5
2025-11-27 16:05:13.156,24.4,54.7
2025-11-27 16:05:19.232,24.4,54.8
2025-11-27 16:05:27.334,24.4,54.9
2025-11-27 16:05:29.360,24.4,54.8
2025-11-27 16:05:37.461,24.4,55.0
